unit_norm,cv_fold
17-01-02,1
17-04-02,1
17-06-02,1
17-07-01,1
18-02-01,1
18-02-02,1
18-03-01,1
18-06-01,1
18-11-01,1
19-01-02,1
19-04-01,1
19-07-01,1
19-09-01,1
19-11-01,1
20-02-01,1
20-04-01,1
20-06-02,1
21-02-02,1
21-03-02,1
21-05-01,1
21-06-02,1
21-08-01,1
21-08-02,1
21-10-01,1
21-11-02,1
22-02-01,1
22-05-01,1
22-07-02,1
23-03-01,1
23-07-01,1
23-09-01,1
23-10-02,1
24-08-01,1
24-08-02,1
24-11-02,1
17-01-01,2
17-05-02,2
17-06-01,2
17-09-02,2
17-10-02,2
17-12-02,2
18-07-01,2
18-07-02,2
18-09-01,2
18-12-01,2
19-02-01,2
19-03-01,2
19-03-02,2
20-01-02,2
20-07-01,2
20-09-02,2
20-10-02,2
21-04-01,2
21-06-01,2
21-09-01,2
21-10-02,2
22-05-02,2
22-06-02,2
22-07-01,2
22-09-02,2
22-12-02,2
23-01-02,2
23-04-01,2
24-02-02,2
24-03-02,2
24-04-02,2
24-06-01,2
24-10-01,2
24-11-01,2
24-12-01,2
17-03-01,3
17-05-01,3
17-08-02,3
17-10-01,3
17-12-01,3
18-01-01,3
18-03-02,3
18-08-02,3
18-09-02,3
19-06-01,3
19-07-02,3
19-09-02,3
19-10-01,3
19-11-02,3
19-12-01,3
20-01-01,3
20-02-02,3
20-09-01,3
21-01-02,3
21-03-01,3
21-07-02,3
22-03-01,3
22-08-01,3
22-09-01,3
22-10-01,3
22-11-02,3
22-12-01,3
23-04-02,3
23-06-01,3
23-08-02,3
24-02-01,3
24-03-01,3
24-06-02,3
24-09-01,3
17-02-01,4
17-07-02,4
17-11-02,4
18-04-02,4
18-06-02,4
18-11-02,4
19-01-01,4
19-05-02,4
19-08-02,4
19-12-02,4
20-03-01,4
20-04-02,4
20-05-01,4
20-06-01,4
20-11-02,4
20-12-01,4
20-12-02,4
21-02-01,4
21-05-02,4
21-11-01,4
21-12-02,4
22-01-02,4
22-04-02,4
22-08-02,4
22-10-02,4
23-01-01,4
23-02-01,4
23-08-01,4
23-09-02,4
23-10-01,4
23-12-01,4
23-12-02,4
24-04-01,4
24-09-02,4
17-02-02,5
17-03-02,5
17-08-01,5
17-11-01,5
18-01-02,5
18-05-01,5
18-05-02,5
18-08-01,5
18-10-01,5
19-02-02,5
19-04-02,5
19-06-02,5
19-08-01,5
20-03-02,5
20-05-02,5
20-07-02,5
20-11-01,5
21-01-01,5
21-04-02,5
21-07-01,5
21-09-02,5
22-01-01,5
22-03-02,5
22-06-01,5
23-02-02,5
23-03-02,5
23-05-01,5
23-06-02,5
23-11-01,5
23-11-02,5
24-01-02,5
24-05-02,5
24-07-02,5
24-10-02,5
24-12-02,5
